DOMINIAL;PESSOA JURÍDICA;10.***.036/0001-74;3L EMPREENDIMENTOS IMOBILIARIOS EIRELI                 ;AFORAMENTO                                        
DOMINIAL;PESSOA JURÍDICA;10.***.036/0001-74;3L EMPREENDIMENTOS IMOBILIARIOS EIRELI                 ;AFORAMENTO                                        
DOMINIAL;PESSOA JURÍDICA;10.***.036/0001-74;3L EMPREENDIMENTOS IMOBILIARIOS EIRELI                 ;AFORAMENTO                                        
DOMINIAL;PESSOA JURÍDICA;10.***.036/0001-74;3L EMPREENDIMENTOS IMOBILIARIOS EIRELI                 ;AFORAMENTO                                        
DOMINIAL;PESSOA JURÍDICA;04.***.439/0001-28;3MAPV ADMINISTRACAO LTDA                               ;AFORAMENTO                                        
DOMINIAL;PESSOA JURÍDICA;04.***.439/0001-28;3MAPV ADMINISTRACAO LTDA                               ;AFORAMENTO                                        
DOMINIAL;PESSOA JURÍDICA;21.***.562/0001-81;3 M CONSTRUCOES E INCORPORACOES LTDA                   ;OCUPACAO                                          
DOMINIAL;PESSOA JURÍDICA;21.***.562/0001-81;3 M CONSTRUCOES E INCORPORACOES LTDA                   ;OCUPACAO                                          
DOMINIAL;PESSOA JURÍDICA;39.***.830/0001-22;3M LOCACOES PARTICIPACOES E EMPREENDIMENTOS IMOBILIARIO;AFORAMENTO                                        
DOMINIAL;PESSOA JURÍDICA;39.***.606/0001-50;3MN ADMINISTRACOES E PARTICIPACOES LTDA                ;AFORAMENTO                                        
DOMINIAL;PESSOA JURÍDICA;39.***.606/0001-50;3MN ADMINISTRACOES E PARTICIPACOES LTDA                ;AFORAMENTO                                        
DOMINIAL;PESSOA JURÍDICA;23.***.718/0001-06;3M O ADMINISTRACAO DE IMOVEIS LTDA                     ;OCUPACAO                                          
DOMINIAL;PESSOA JURÍDICA;04.***.699/0001-08;3MS EMPREENDIMENTOS PARTICIPACOES E COMERCIO LTDA      ;AFORAMENTO                                        
DOMINIAL;PESSOA JURÍDICA;04.***.699/0001-08;3MS EMPREENDIMENTOS PARTICIPACOES E COMERCIO LTDA      ;AFORAMENTO                                        
DOMINIAL;PESSOA JURÍDICA;04.***.699/0001-08;3MS EMPREENDIMENTOS PARTICIPACOES E COMERCIO LTDA      ;AFORAMENTO                                        
DOMINIAL;PESSOA JURÍDICA;04.***.699/0001-08;3MS EMPREENDIMENTOS PARTICIPACOES E COMERCIO LTDA      ;AFORAMENTO                                        
DOMINIAL;PESSOA JURÍDICA;20.***.118/0001-70;3P PARTICIPACOES LTDA                                  ;OCUPACAO                                          
DOMINIAL;PESSOA JURÍDICA;52.***.214/0003-99;3R AREIA BRANCA S A                                    ;OCUPACAO                                          
DOMINIAL;PESSOA JURÍDICA;08.***.848/0001-19;3 R COMERCIO DE MATERIAIS DE CONSTRUCAO E SERVICOS DE T;OCUPACAO                                          
DOMINIAL;PESSOA JURÍDICA;03.***.308/0001-09;3R ENGENHARIA LTDA                                     ;OCUPACAO                                          
DOMINIAL;PESSOA JURÍDICA;11.***.776/0001-31;3R PATRIMONIAL LTDA                                    ;AFORAMENTO                                        
DOMINIAL;PESSOA JURÍDICA;11.***.776/0001-31;3R PATRIMONIAL LTDA                                    ;OCUPACAO                                          
DOMINIAL;PESSOA JURÍDICA;11.***.776/0001-31;3R PATRIMONIAL LTDA                                    ;AFORAMENTO                                        
DOMINIAL;PESSOA JURÍDICA;26.***.360/0001-19;3R PROSPERUS HOLDING LTDA                              ;AFORAMENTO                                        
DOMINIAL;PESSOA JURÍDICA;26.***.360/0001-19;3R PROSPERUS HOLDING LTDA                              ;AFORAMENTO                                        
DOMINIAL;PESSOA JURÍDICA;26.***.360/0001-19;3R PROSPERUS HOLDING LTDA                              ;AFORAMENTO                                        
DOMINIAL;PESSOA JURÍDICA;26.***.360/0001-19;3R PROSPERUS HOLDING LTDA                              ;AFORAMENTO                                        
DOMINIAL;PESSOA JURÍDICA;11.***.291/0001-05;3SC PATRIMONIAL LTDA                                   ;AFORAMENTO                                        
DOMINIAL;PESSOA JURÍDICA;19.***.511/0001-79;3 SM ADMINISTRADORA DE BENS IMOVEIS LTDA               ;AFORAMENTO                                        
DOMINIAL;PESSOA JURÍDICA;19.***.511/0001-79;3 SM ADMINISTRADORA DE BENS IMOVEIS LTDA               ;AFORAMENTO                                        
